experiment,form,equation,lam_probe,lam_reg,seed,val_main_bce,val_probe_bce,weight_norm
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,0.5,0.01,8,0.40151893701918684,13.437206085994928,1.0820250358979493
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,0.5,0.01,9,0.41118349503051294,12.151507997348052,0.9879273329196325
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,0,0.7724819541899727,26.826874167432894,0.27458016178061356
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,1,0.6994128699609903,23.828625485734452,0.09340962827183463
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,2,0.7256914192464866,23.507153961649923,0.2759751944377368
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,3,0.7262941780902066,23.596851609836403,0.14414344040724733
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,4,0.6996485391258147,23.210905946370705,0.05093325431399334
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,5,0.6927171959578567,24.070354734936082,0.23839487437580742
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,6,0.7574490976773626,23.951085452679568,0.19241596549460394
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,7,0.6907240226000824,22.288951266118776,0.2305088908121788
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,8,0.6901513254871267,24.12096571970396,0.22696035212932306
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.001,9,0.6999397608501623,22.27635941086695,0.23329928008934553
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,0,0.7763130501716718,38.439610904447186,0.2859994775667051
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,1,0.6995239477609743,33.73633669923796,0.09692113637802598
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,2,0.7274629960555254,33.545520561383654,0.2871952402073647
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,3,0.7279102829142635,33.75596807123184,0.15013978137768902
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,4,0.6999105470150206,33.08053029442977,0.05280537919819285
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,5,0.6929325229566085,34.36972970971505,0.2484321245812701
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,6,0.7604086911783987,34.29825662137417,0.20093349345404068
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,7,0.6908638375475332,31.680984784889965,0.23964233271125174
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,8,0.6903284875644786,34.408992493889215,0.23506127024364862
loss_search,current_minus_minus,L = main - λ_probe * probe - λ_reg * reg,1.0,0.01,9,0.7003042648414521,31.71157719801268,0.2423345309982087
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,0,0.16560005850367535,0.18887333185034225,4.728311828733608
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,1,0.1689124493421332,0.21002142679554436,4.7366994529207505
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,2,0.15181375591483887,0.16660308959180986,4.713853420715904
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,3,0.16604795430116479,0.18144459491301046,4.756003317601043
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,4,0.16783177737257488,0.19101944729814135,4.690834792653387
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,5,0.161424411726772,0.1777689319784462,4.802423599218334
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,6,0.15880913912474395,0.15754175354518932,4.681500907029563
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,7,0.13613714920821104,0.1370846121110638,4.741440140775124
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,8,0.1574448844481653,0.14792319273171853,4.766934183630972
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.001,9,0.14177244891180343,0.14826753724634226,4.722089712821829
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,0,0.1998894373931041,0.21660766378163157,3.593545123645683
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,1,0.20158349157129915,0.2335065313661652,3.5998310380473537
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,2,0.1845259209908295,0.19823346772394607,3.575422504707077
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,3,0.19530364431874048,0.20707784060383622,3.6185243244134666
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,4,0.20333664173488905,0.2212528236373327,3.5605298797906384
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,5,0.19617052481964278,0.20883907967935297,3.651616058718625
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,6,0.19155372818157074,0.19154515612789186,3.547515968429007
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,7,0.17414688805474057,0.17489387192151412,3.597328480024743
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,8,0.18776987552185656,0.1805321892283058,3.62270460989501
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.1,0.01,9,0.17473508357495998,0.1804957281251355,3.585317177013539
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,0,0.15518624192386543,0.1742168339742619,5.250189009110448
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,1,0.15919111678816947,0.18689097482289732,5.259933890561155
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,2,0.14287761049984216,0.14801611952473323,5.26169630513496
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,3,0.1572752900128806,0.16727186435098718,5.301213886999255
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,4,0.15582479501999888,0.17356155930003636,5.223905830969877
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,5,0.15080241568949482,0.16357595559688398,5.346052946272346
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,6,0.14937916195246223,0.14273082758398667,5.183878963824098
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,7,0.12444143114247695,0.12099630545247896,5.268381245393531
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,8,0.14858380663749007,0.13424685261040323,5.296937869379435
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.001,9,0.13272465166328634,0.1295974917765145,5.255274196591349
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,0,0.18629959294736456,0.19913277575359922,3.9971606982378254
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,1,0.18866497039855898,0.21085319603677916,4.006682836821855
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,2,0.17135540216599948,0.17726637928274164,3.996501305536012
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,3,0.18367093355072373,0.19038400953084952,4.038371733252954
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,4,0.18870373986974087,0.20193314485197794,3.970769900566252
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,5,0.18189972389802728,0.19065568343618486,4.071281835538136
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,6,0.17856466359987497,0.17467342871073643,3.935346821243765
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,7,0.15851528744487217,0.15538246211417175,4.003875513227346
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,8,0.175671063740117,0.1631956048895318,4.034980850998033
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,0.5,0.01,9,0.16206853982759395,0.16094669814576776,3.996197976471216
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,0,0.1470999927992023,0.16479160251416053,5.77318917800716
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,1,0.15180921375319845,0.1768479139319257,5.788189119416506
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,2,0.13697015045979732,0.13587152707602526,5.827354676302515
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,3,0.15008432209603068,0.16063451077708837,5.855551068840806
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,4,0.14580545840017742,0.1648686316945353,5.76186488194186
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,5,0.14237001049889406,0.15579579375220376,5.907722430604995
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,6,0.1417955981970555,0.13318558239202535,5.692783482905178
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,7,0.11516013305162183,0.11014510580479878,5.798875118257555
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,8,0.14175651765253247,0.12708787511835823,5.847687803354334
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.001,9,0.12603760488263288,0.1195660679118908,5.8004956956684275
loss_search,plus_plus,L = main + λ_probe * probe + λ_reg * reg,1.0,0.01,0,0.17515028590678866,0.1869608262231054,4.403325919294571
