experiment,form,equation,alpha,seed,rmse,avg_step,cp_error,shock_deviation,recovery_error
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,33,0.25833259989478735,0.011948806762655168,0.4033690716462241,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,34,0.24896234057726294,0.011806748577838864,0.3813337490494013,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,35,0.25403937555903583,0.011864397564334207,0.3992557730344341,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,36,0.2510708676364613,0.011918541827097675,0.3758935790489335,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,37,0.2572165424266138,0.012163706365832022,0.39170402526996556,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,38,0.2615651507624336,0.012124060643749072,0.41808130366698076,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,39,0.2542123197974946,0.012435854780150093,0.395062908944867,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,40,0.261560773218447,0.012216854028462561,0.4215358272434364,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,41,0.25784249940190557,0.012117889374351732,0.3826362781048233,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,42,0.2545650249161151,0.012180071588794587,0.40594284091197474,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,43,0.2570413655424251,0.012161433554857546,0.4259592982013943,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,44,0.2516587481246873,0.012413992683897025,0.3710119497556234,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,45,0.2659324772231536,0.01218334210115915,0.4173125105794646,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,46,0.2501606454281695,0.011918084534842449,0.40429358287013245,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,47,0.25621059713066474,0.012254567904071144,0.3733282442814141,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,48,0.25622213908853864,0.012152278679708412,0.38138479422441357,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.02,49,0.25543778298559766,0.012113067073116641,0.3617427460067417,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,0,0.168805297087116,0.021873589740790067,0.21947605310671167,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,1,0.16262821675899222,0.02317567306692925,0.21289405363755395,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,2,0.1572441523173224,0.022803139707434885,0.17598124984946895,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.05,3,0.15346589011558037,0.023417879195311127,0.1633070404024706,,
